timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
601,1003690,"M Street and 4th Street SW",,38.876563,-77.018021,,,,,,0
602,1001696,"14th Street and U Street NW",,38.917192,-77.032072,,,,,,0
603,1000251,"Stanton Road and Elvans Road SE",,38.854381,-76.985604,,,,,,0
604,1003908,"Maine Avenue and 7th Street SW",,38.878497,-77.022733,,,,,,0
605,1003032,"M Street and Half Street SE",,38.876391,-77.007042,,,,,,0
606,1003903,"7th Street and I Street SW",,38.879689,-77.021811,,,,,,0
607,1000305,"Stanton Road and Washington View Apts",,38.858528,-76.990139,,,,,,0
608,1003759,"Martin Luther King Jr Ave and Good Hope Road SE",,38.867201,-76.988623,,,,,,0
609,1003363,"Stanton Road and Bryan Place SE",,38.858285,-76.988138,,,,,,0
610,1001827,"Calvert Street and Lanier Pl NW",,38.923149,-77.043891,,,,,,0
611,1001202,"Pennsylvania Avenue and 22nd Street NW",,38.902094,-77.048448,,,,,,0
612,1000495,"M Street and Delaware Ave SW",,38.876349,-77.013363,,,,,,0
632,1000222,"Stanton Road and Bruce Place SE",,38.850911,-76.981087,,,,,,0
633,1003361,"Stanton Road and Washington View Apts",,38.858417,-76.990395,,,,,,0
634,1000316,"Sheridan Road and Bowen Road SE",,38.859158,-76.993460,,,,,,0
635,1003362,"Stanton Road and Pomeroy Road SE",,38.856329,-76.987114,,,,,,0
636,1000423,"Martin Luther King Jr Ave and U Street SE",,38.867027,-76.988941,,,,,,0
637,1003780,"11th Street and O Street NE",,38.873442,-76.991450,,,,,,0
638,1000821,"8th Street and E Capitol NE",,38.889985,-76.995051,,,,,,0
639,1000197,"Stanton Road and Alabama Ave SE",,38.847229,-76.980504,,,,,,0
640,1000252,"Stanton Road and Elvans Road SE",,38.854635,-76.986167,,,,,,0
650,99992,"Test Stop 1",,38.914234,-76.975457,,,,,,0
654,1003866,"Union Station Parking Garage",,38.898555,-77.006584,,,,,,0
656,99991,"Test Route Start",,38.915746,-76.977132,,,,,,0
657,99993,"Test Stop 2",,38.900219,-76.983374,,,,,,0
658,99995,"Test Stop 3",,38.903988,-76.993006,,,,,,0
659,99996,"Test Route End",,38.916211,-76.979270,,,,,,0
660,123823,"Maine Avenue and 7th Street SW",,38.878591,-77.022446,,,,,,0
