trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6140030,NMS,5,"LINCOLN MEMORIAL",,1,100803303,shp-NMS-03,0,0
5240040,CH-US,2,"CONGRESS HEIGHTS",,0,100711404,shp-CH-US-53,0,0
3044040,CH-US,2,"CONGRESS HEIGHTS",,0,100708404,shp-CH-US-53,0,0
5565060,RS-DP,4,"ROSSLYN",,0,100604606,shp-RS-DP-54,0,0
1133070,GT-US,3,"GEORGETOWN",,0,100105707,shp-GT-US-01,0,0
6851060,RS-DP,4,"DUPONT CIRCLE",,1,100602606,shp-RS-DP-04,0,0
1107050,CH-US,1,"CONGRESS HEIGHTS",,0,100703505,shp-CH-US-53,0,0
7444010,WP-AM,6,"WOODLEY PARK METRO",,1,100252101,shp-WP-AM-03,0,0
1319060,NMS,4,"LINCOLN MEMORIAL",,1,100803606,shp-NMS-03,0,0
2246040,RS-DP,2,"ROSSLYN",,0,100603404,shp-RS-DP-54,0,0
5471030,GT-US,5,"GEORGETOWN",,0,100103303,shp-GT-US-01,0,0
7462050,WP-AM,1,"WOODLEY PARK METRO",,1,100208505,shp-WP-AM-03,0,0
5791060,EM-LP,4,"EASTERN MARKET",,1,100501606,shp-EM-LP-03,2,2
104050,NMS,1,"LINCOLN MEMORIAL",,1,100852505,shp-NMS-03,0,0
5564070,EM-LP,3,"L'ENFANT PLAZA",,0,100502707,shp-EM-LP-53,2,2
4050070,WP-AM,3,"MCPHERSON SQUARE METRO",,0,100210707,shp-WP-AM-53,0,0
592060,WP-AM,4,"WOODLEY PARK METRO",,1,100205606,shp-WP-AM-03,0,0
2248020,EM-LP,7,"EASTERN MARKET",,1,100507202,shp-EM-LP-03,2,2
1949060,EM-LP,4,"EASTERN MARKET",,1,100505606,shp-EM-LP-03,2,2
1201010,GT-US,6,"UNION STATION",,1,100113101,shp-GT-US-51,0,0
2386030,RS-DP,5,"DUPONT CIRCLE",,1,100601303,shp-RS-DP-04,0,0
6247060,EM-LP,4,"EASTERN MARKET",,1,100501606,shp-EM-LP-03,2,2
5007070,CH-US,3,"UNION STATION",,1,100701707,shp-CH-US-03,0,0
2417010,CH-US,6,"CONGRESS HEIGHTS",,0,100715101,shp-CH-US-53,0,0
880060,CH-US,4,"UNION STATION",,1,100704606,shp-CH-US-03,0,0
7222030,WP-AM,5,"WOODLEY PARK METRO",,1,100208303,shp-WP-AM-03,0,0
5588050,WP-AM,1,"WOODLEY PARK METRO",,1,100207505,shp-WP-AM-03,0,0
2076070,GT-US,3,"UNION STATION",,1,100102707,shp-GT-US-51,0,0
4129050,CH-US,1,"UNION STATION",,1,100703505,shp-CH-US-03,0,0
6348030,RS-DP,5,"DUPONT CIRCLE",,1,100603303,shp-RS-DP-04,0,0
811020,EM-LP,7,"L'ENFANT PLAZA",,0,100552202,shp-EM-LP-53,2,2
818050,WP-AM,1,"MCPHERSON SQUARE METRO",,0,100206505,shp-WP-AM-53,0,0
4928050,CH-US,1,"CONGRESS HEIGHTS",,0,100703505,shp-CH-US-53,0,0
1740020,RS-DP,7,"ROSSLYN",,0,100603202,shp-RS-DP-54,0,0
4691070,CH-US,3,"UNION STATION",,1,100704707,shp-CH-US-03,0,0
5099030,EM-LP,5,"EASTERN MARKET",,1,100503303,shp-EM-LP-03,2,2
5279040,GT-US,2,"GEORGETOWN",,0,100152404,shp-GT-US-01,0,0
5958030,GT-US,5,"GEORGETOWN",,0,100107303,shp-GT-US-01,0,0
7159060,WP-AM,4,"WOODLEY PARK METRO",,1,100203606,shp-WP-AM-03,0,0
967070,WP-AM,3,"MCPHERSON SQUARE METRO",,0,100206707,shp-WP-AM-53,0,0
3092040,WP-AM,2,"WOODLEY PARK METRO",,1,100208404,shp-WP-AM-03,0,0
5711050,GT-US,1,"GEORGETOWN",,0,100108505,shp-GT-US-01,0,0
749030,RS-DP,5,"ROSSLYN",,0,100604303,shp-RS-DP-54,0,0
4479060,RS-DP,4,"ROSSLYN",,0,100605606,shp-RS-DP-54,0,0
5011070,RS-DP,3,"ROSSLYN",,0,100603707,shp-RS-DP-54,0,0
6743030,EM-LP,5,"EASTERN MARKET",,1,100503303,shp-EM-LP-03,2,2
34050,RS-DP,1,"DUPONT CIRCLE",,1,100603505,shp-RS-DP-04,0,0
4583050,NMS,1,"LINCOLN MEMORIAL",,1,100803505,shp-NMS-03,0,0
3370030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100251303,shp-WP-AM-53,0,0
6519010,RS-DP,6,"DUPONT CIRCLE",,1,100601101,shp-RS-DP-04,0,0
7700070,WP-AM,3,"WOODLEY PARK METRO",,1,100202707,shp-WP-AM-03,0,0
1905040,CH-US,2,"CONGRESS HEIGHTS",,0,100751404,shp-CH-US-53,0,0
6223050,WP-AM,1,"WOODLEY PARK METRO",,1,100207505,shp-WP-AM-03,0,0
2637010,RS-DP,6,"ROSSLYN",,0,100601101,shp-RS-DP-54,0,0
3722070,RS-DP,3,"ROSSLYN",,0,100604707,shp-RS-DP-54,0,0
7157060,EM-LP,4,"EASTERN MARKET",,1,100506606,shp-EM-LP-03,2,2
726050,GT-US,1,"GEORGETOWN",,0,100151505,shp-GT-US-01,0,0
1893070,CH-US,3,"UNION STATION",,1,100712707,shp-CH-US-03,0,0
6612020,GT-US,7,"GEORGETOWN",,0,100102202,shp-GT-US-01,0,0
2653010,EM-LP,6,"L'ENFANT PLAZA",,0,100502101,shp-EM-LP-53,2,2
933040,WP-AM,2,"WOODLEY PARK METRO",,1,100201404,shp-WP-AM-03,0,0
1358030,CH-US,5,"CONGRESS HEIGHTS",,0,100709303,shp-CH-US-53,0,0
5469030,RS-DP,5,"ROSSLYN",,0,100604303,shp-RS-DP-54,0,0
1104010,NMS,6,"LINCOLN MEMORIAL",,1,100809101,shp-NMS-03,0,0
652050,CH-US,1,"CONGRESS HEIGHTS",,0,100707505,shp-CH-US-53,0,0
2744030,GT-US,5,"GEORGETOWN",,0,100101303,shp-GT-US-01,0,0
5748010,CH-US,6,"CONGRESS HEIGHTS",,0,100715101,shp-CH-US-53,0,0
2349060,RS-DP,4,"DUPONT CIRCLE",,1,100603606,shp-RS-DP-04,0,0
6456070,CH-US,3,"CONGRESS HEIGHTS",,0,100702707,shp-CH-US-53,0,0
1575010,EM-LP,6,"L'ENFANT PLAZA",,0,100505101,shp-EM-LP-53,2,2
6291030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100201303,shp-WP-AM-53,0,0
6080040,NMS,2,"LINCOLN MEMORIAL",,1,100802404,shp-NMS-03,0,0
436010,WP-AM,6,"MCPHERSON SQUARE METRO",,0,100205101,shp-WP-AM-53,0,0
5952020,GT-US,7,"UNION STATION",,1,100109202,shp-GT-US-51,0,0
5365040,RS-DP,2,"DUPONT CIRCLE",,1,100601404,shp-RS-DP-04,0,0
2582060,GT-US,4,"UNION STATION",,1,100110606,shp-GT-US-51,0,0
5106050,NMS,1,"LINCOLN MEMORIAL",,1,100806505,shp-NMS-03,0,0
2081020,RS-DP,7,"ROSSLYN",,0,100651202,shp-RS-DP-54,0,0
3979010,EM-LP,6,"L'ENFANT PLAZA",,0,100501101,shp-EM-LP-53,2,2
7122030,WP-AM,5,"WOODLEY PARK METRO",,1,100202303,shp-WP-AM-03,0,0
684020,GT-US,7,"UNION STATION",,1,100103202,shp-GT-US-51,0,0
6589050,WP-AM,1,"WOODLEY PARK METRO",,1,100203505,shp-WP-AM-03,0,0
3726030,EM-LP,5,"EASTERN MARKET",,1,100506303,shp-EM-LP-03,2,2
188040,WP-AM,2,"WOODLEY PARK METRO",,1,100202404,shp-WP-AM-03,0,0
3565060,EM-LP,4,"L'ENFANT PLAZA",,0,100502606,shp-EM-LP-53,2,2
5004010,EM-LP,6,"L'ENFANT PLAZA",,0,100502101,shp-EM-LP-53,2,2
1723010,GT-US,6,"UNION STATION",,1,100114101,shp-GT-US-51,0,0
1803050,EM-LP,1,"EASTERN MARKET",,1,100503505,shp-EM-LP-03,2,2
3197040,GT-US,2,"UNION STATION",,1,100109404,shp-GT-US-51,0,0
4364020,CH-US,7,"UNION STATION",,1,100706202,shp-CH-US-03,0,0
5801030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100201303,shp-WP-AM-53,0,0
5725060,WP-AM,4,"WOODLEY PARK METRO",,1,100252606,shp-WP-AM-03,0,0
4991060,GT-US,4,"GEORGETOWN",,0,100104606,shp-GT-US-01,0,0
2002020,RS-DP,7,"ROSSLYN",,0,100601202,shp-RS-DP-54,0,0
4624070,EM-LP,3,"L'ENFANT PLAZA",,0,100501707,shp-EM-LP-53,2,2
3379030,EM-LP,5,"EASTERN MARKET",,1,100501303,shp-EM-LP-03,2,2
4158070,CH-US,3,"UNION STATION",,1,100707707,shp-CH-US-03,0,0
2807050,RS-DP,1,"ROSSLYN",,0,100601505,shp-RS-DP-54,0,0
1456070,GT-US,3,"GEORGETOWN",,0,100108707,shp-GT-US-01,0,0
3528010,EM-LP,6,"L'ENFANT PLAZA",,0,100504101,shp-EM-LP-53,2,2
2402020,WP-AM,7,"WOODLEY PARK METRO",,1,100208202,shp-WP-AM-03,0,0
1022070,WP-AM,3,"MCPHERSON SQUARE METRO",,0,100205707,shp-WP-AM-53,0,0
3420070,GT-US,3,"GEORGETOWN",,0,100103707,shp-GT-US-01,0,0
4861030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100202303,shp-WP-AM-53,0,0
416040,WP-AM,2,"WOODLEY PARK METRO",,1,100205404,shp-WP-AM-03,0,0
7403020,EM-LP,7,"L'ENFANT PLAZA",,0,100503202,shp-EM-LP-53,2,2
658040,CH-US,2,"UNION STATION",,1,100702404,shp-CH-US-03,0,0
4111050,RS-DP,1,"ROSSLYN",,0,100605505,shp-RS-DP-54,0,0
1827010,WP-AM,6,"MCPHERSON SQUARE METRO",,0,100204101,shp-WP-AM-53,0,0
3002070,GT-US,3,"GEORGETOWN",,0,100106707,shp-GT-US-01,0,0
119050,GT-US,1,"GEORGETOWN",,0,100110505,shp-GT-US-01,0,0
3050020,GT-US,7,"GEORGETOWN",,0,100108202,shp-GT-US-01,0,0
1263060,GT-US,4,"GEORGETOWN",,0,100107606,shp-GT-US-01,0,0
7512010,EM-LP,6,"EASTERN MARKET",,1,100503101,shp-EM-LP-03,2,2
5592030,CH-US,5,"UNION STATION",,1,100711303,shp-CH-US-03,0,0
3281020,RS-DP,7,"ROSSLYN",,0,100604202,shp-RS-DP-54,0,0
5756060,WP-AM,4,"WOODLEY PARK METRO",,1,100204606,shp-WP-AM-03,0,0
120030,CH-US,5,"CONGRESS HEIGHTS",,0,100710303,shp-CH-US-53,0,0
3275020,RS-DP,7,"DUPONT CIRCLE",,1,100603202,shp-RS-DP-04,0,0
2257050,EM-LP,1,"EASTERN MARKET",,1,100501505,shp-EM-LP-03,2,2
3217060,RS-DP,4,"DUPONT CIRCLE",,1,100603606,shp-RS-DP-04,0,0
1587020,GT-US,7,"UNION STATION",,1,100111202,shp-GT-US-51,0,0
6731060,GT-US,4,"GEORGETOWN",,0,100106606,shp-GT-US-01,0,0
793010,GT-US,6,"UNION STATION",,1,100111101,shp-GT-US-51,0,0
683030,RS-DP,5,"DUPONT CIRCLE",,1,100604303,shp-RS-DP-04,0,0
7575050,CH-US,1,"CONGRESS HEIGHTS",,0,100709505,shp-CH-US-53,0,0
4202070,EM-LP,3,"L'ENFANT PLAZA",,0,100551707,shp-EM-LP-53,2,2
3003020,RS-DP,7,"ROSSLYN",,0,100603202,shp-RS-DP-54,0,0
742020,CH-US,7,"UNION STATION",,1,100751202,shp-CH-US-03,0,0
6213030,EM-LP,5,"EASTERN MARKET",,1,100503303,shp-EM-LP-03,2,2
1287030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100251303,shp-WP-AM-53,0,0
2445020,RS-DP,7,"DUPONT CIRCLE",,1,100604202,shp-RS-DP-04,0,0
7682060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100201606,shp-WP-AM-53,0,0
6798030,CH-US,5,"UNION STATION",,1,100710303,shp-CH-US-03,0,0
3645010,EM-LP,6,"EASTERN MARKET",,1,100501101,shp-EM-LP-03,2,2
3179050,CH-US,1,"UNION STATION",,1,100707505,shp-CH-US-03,0,0
548060,GT-US,4,"GEORGETOWN",,0,100101606,shp-GT-US-01,0,0
6578020,RS-DP,7,"ROSSLYN",,0,100605202,shp-RS-DP-54,0,0
5884070,CH-US,3,"CONGRESS HEIGHTS",,0,100704707,shp-CH-US-53,0,0
5616010,RS-DP,6,"DUPONT CIRCLE",,1,100604101,shp-RS-DP-04,0,0
1866020,CH-US,7,"UNION STATION",,1,100708202,shp-CH-US-03,0,0
1299070,GT-US,3,"GEORGETOWN",,0,100108707,shp-GT-US-01,0,0
4136050,GT-US,1,"GEORGETOWN",,0,100103505,shp-GT-US-01,0,0
809070,EM-LP,3,"L'ENFANT PLAZA",,0,100551707,shp-EM-LP-53,2,2
6848060,RS-DP,4,"DUPONT CIRCLE",,1,100602606,shp-RS-DP-04,0,0
5493030,GT-US,5,"UNION STATION",,1,100105303,shp-GT-US-51,0,0
5210060,WP-AM,4,"WOODLEY PARK METRO",,1,100204606,shp-WP-AM-03,0,0
3493030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100205303,shp-WP-AM-53,0,0
6105070,WP-AM,3,"MCPHERSON SQUARE METRO",,0,100201707,shp-WP-AM-53,0,0
4654070,CH-US,3,"CONGRESS HEIGHTS",,0,100752707,shp-CH-US-53,0,0
5318070,WP-AM,3,"WOODLEY PARK METRO",,1,100203707,shp-WP-AM-03,0,0
4366010,GT-US,6,"GEORGETOWN",,0,100113101,shp-GT-US-01,0,0
773010,EM-LP,6,"L'ENFANT PLAZA",,0,100552101,shp-EM-LP-53,2,2
6631030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100252303,shp-WP-AM-53,0,0
7379040,WP-AM,2,"MCPHERSON SQUARE METRO",,0,100203404,shp-WP-AM-53,0,0
1075030,EM-LP,5,"L'ENFANT PLAZA",,0,100505303,shp-EM-LP-53,2,2
67040,WP-AM,2,"MCPHERSON SQUARE METRO",,0,100209404,shp-WP-AM-53,0,0
6604020,CH-US,7,"UNION STATION",,1,100711202,shp-CH-US-03,0,0
