prices,adresses,sqm,city
Totalpris: 4 307 650 ,"Steinsvikvegen 382, Rådal",78 ,Bergen
Totalpris: 2 694 240 ,"Hetlevikåsen 30, Loddefjord",65 ,Bergen
Totalpris: 33 845 140 ,"Haakon Sæthres veg 23, Paradis",398 ,Bergen
Totalpris: 5 125 602 ,"Amalie Skrams vei 5, Bergen",74 ,Bergen
Totalpris: 2 851 363 ,"Liaflaten 37, Nyborg",60 ,Bergen
Fellesutg.: 3 500 ,"Asbjørnsens gate 11, Bergen",114 ,Bergen
Totalpris: 11 173 500 ,"Fanakrå 55, Fana",317 ,Bergen
Totalpris: 2 975 023 ,"Moldbakken 3, Bergen",55 ,Bergen
Totalpris: 4 129 147 ,"Storåsen 86, Nyborg",114 ,Bergen
Totalpris: 2 425 900 ,"Vestre Vadmyra 16, Loddefjord",62 ,Bergen
Totalpris: 15 017 160 ,"FløenPark, Bergen",201 ,Bergen
Totalpris: 2 563 750 ,"Løbergsveien 52, Bergen",72 ,Bergen
Totalpris: 5 642 150 ,"Klauvarinden 16, Salhus",183 ,Bergen
Totalpris: 3 395 769 ,"Rugdeveien 41, Bergen",65 ,Bergen
Totalpris: 2 867 000 ,"Michael Krohns gate 103, Bergen",33 ,Bergen
Totalpris: 7 028 538 ,"Sandsliåsen 59, B-6-301, Sandsli",79 ,Bergen
Totalpris: 5 023 740 ,"Fageråsveien 24, Bergen",96 ,Bergen
Totalpris: 9 026 170 ,"Ekornvegen 4E, Rådal",141 ,Bergen
Totalpris: 3 001 140 ,"Dag Hammarskjølds vei 93, Fyllingsdalen",75 ,Bergen
Totalpris: 3 666 087 ,"Myrdalskogen 1, Ulset",84 ,Bergen
Totalpris: 4 101 890 ,"Sundts veg 15J, Nesttun",64 ,Bergen
Totalpris: 3 956 980 ,"Tipphaugen 22, Søreidgrend",68 ,Bergen
Totalpris: 2 972 980 ,"Dokken 5, Bergen",49 ,Bergen
Totalpris: 3 444 480 ,"Grunnane 29, Søreidgrend",79 ,Bergen
Totalpris: 4 706 296 ,"Øvre Fredlundveien 16C, Bergen",96 ,Bergen
Totalpris: 3 312 660 - 5 267 840 ,"Siljustølvegen 155-187, Rådal",104 ,Bergen
Totalpris: 5 754 325 ,"Johan Blytts vei 46, Bergen",47 - 84 ,Bergen
Totalpris: 5 643 902 ,"Kistebakkane 38, Mjølkeråen",104 ,Bergen
Totalpris: 2 669 221 ,"Brønndalsåsen 17, Loddefjord",198 ,Bergen
