trans_id,lang,translation
"Karhusaarentie.",sv,"Björnholmsvägen"
"Kuninkaankartanontie",sv,"Kungsgårdsvägen"
"Malmin sair.",fi,"Malmin sair."
"Kalasatama",fi,"Kalasatama"
"Kilon asema",fi,"Kilon asema"
"Mäntsäläntie",sv,"Mäntsäläntie"
"Pietarniityntie 13",sv,"Renfanevägen 13"
"Kuismapolku 8",sv,"Mannablodsstigen 8"
"Vuosaari(M)-Kallahti-Ramsinniemi",sv,"Nordsjö(M)-Kallvik-Ramsöudden"
"Lapinrinne",sv,"Lappbrinken"
"Puolimatkan kp",sv,"Puolimatkan kp"
"Abrahaminkatu 1-5",fi,"Abrahaminkatu 1-5"
"Hiomotie 3",sv,"Sliperivägen 3"
"Rautatientori - Nikkilä - Pornainen",fi,"Rautatientori - Nikkilä - Pornainen"
"Itäkesk. uimahalli",fi,"Itäkesk. uimahalli"
"Fasaaninpolku",fi,"Fasaaninpolku"
"Gustavelund",fi,"Gustavelund"
"Hiekkamäki",fi,"Hiekkamäki"
"Uuttu",sv,"Uuttu"
"Taistelukoulu",sv,"Taistelukoulu"
"Ohjaajantie 14",fi,"Ohjaajantie 14"
"Ruosilantie 10",sv,"Rosasvägen 10"
"Vuosaari(M)-Porslahdentie",fi,"Vuosaari(M)-Porslahdentie"
"Lentoasema-Helsinki",sv,"Flygpl. - H:fors"
"Vattuniemenkatu",fi,"Vattuniemenkatu"
"Pikkujärventie",fi,"Pikkujärventie"
"Kolmiranta",fi,"Kolmiranta"
"Fira",fi,"Fira"
"Hyrylän urheilukesku",sv,"Hyrylän urheilukesku"
"Matinkylä term.",fi,"Matinkylä term."
"Kamppi-Meilahti-Laajalahti-Suvela-Espoon keskus",sv,"Kampen-Mejlans-Bredvik-Södrik-Esbo centrum"
"Ilmala-Kuninkm",sv,"Ilmala-Kungsb"
"Pengerpolku",fi,"Pengerpolku"
"Kalliosola etelä",fi,"Kalliosola etelä"
"Hietaniemenkatu 27",fi,"Hietaniemenkatu 27"
"Veikkola",fi,"Veikkola"
"Sumukuja",sv,"Dimgränden"
"Torkkelinkatu",fi,"Torkkelinkatu"
"Koivistontie",fi,"Koivistontie"
"Munkinmäentie",sv,"Munkkullavägen"
"Elontie 31",fi,"Elontie 31"
"Hiidenkiukaantie 6",sv,"Jätterösvägen 6"
"Kaupinkalliontie",sv,"Krämarbergsvägen"
"Fleminginkatu",fi,"Fleminginkatu"
"Båskis",fi,"Båskis"
"Myyrmäki l.7 tulo",sv,"Myrbacka pf.7 ank."
"Kunnarlantie 31",sv,"Gunnarsvägen 31"
"Myyrmäki (Honkasuo)",fi,"Myyrmäki (Honkasuo)"
"Veikkola-Kaislampi",sv,"Veikkola-Kaislampi"
"Hästböle",fi,"Hästböle"
"Laurinniitynt.",sv,"Larsängsv."
"Lukupolku",fi,"Lukupolku"
"Otonkuja",sv,"Ottogränden"
"Pikkalantie",sv,"Pickalavägen"
"Radiokatu 10",fi,"Radiokatu 10"
"Lepsämänjoki-Hännikäinen-Kalajärvi",fi,"Lepsämänjoki-Hännikäinen-Kalajärvi"
"Nummimäentie",fi,"Nummimäentie"
"Tuulikintie",fi,"Tuulikintie"
"Suurmetsäntie",sv,"Storskogsvägen"
"Rantakukankuja",sv,"Fackelblomsgränden"
"Mellunmäki-Korso-Vierumäki",sv,"Mellunmäki-Korso-Vierumäki"
"Vatakuja",fi,"Vatakuja"
"Tunturipolku",fi,"Tunturipolku"
"Maistraatintori",sv,"Magistratstorget"
"Nikkilän la-as.",sv,"Nickby busst. pf."
"Gesterbyntie",sv,"Gesterbyvägen"
"Karaniitty",fi,"Karaniitty"
"Hösmärinmäki",fi,"Hösmärinmäki"
"Hehkulanka",sv,"Glödtråden"
"Kämnerintie",fi,"Kämnerintie"
"Tapiola (M)",fi,"Tapiola (M)"
"Tiilenvalajantie",sv,"Tegelmakarvägen"
"Svennas",sv,"Svennas"
"Valpurintie",sv,"Valborgsvägen"
"Rautatientori - Latokartano",fi,"Rautatientori - Latokartano"
"Kalasatama  (M) - Sorsakorpi - Ahjo - Keravan as.",fi,"Kalasatama  (M) - Sorsakorpi - Ahjo - Keravan as."
"Rajakenttä",fi,"Rajakenttä"
"Kaivomestari",sv,"Brunnsmästaren"
"Myllypadontie 6",sv,"Kvarndammsvägen 6"
"Bredantie 16",sv,"Bredavägen 16"
"Myllypadontie",sv,"Kvarndammsv."
"Santamaantie",sv,"Santamaavägen"
"Kontulankaari 11",fi,"Kontulankaari 11"
"Pohj. Makasiinikatu",sv,"Norra Magasinsgatan"
"Paalukuja",sv,"Pålgränden"
"Harjusuon puisto",sv,"Åskärrs park"
"Massbyntie",sv,"Massbyvägen"
"Eliel-Lentosema",sv,"Eliel-Flygplatsen"
"Tuusulan kunta, vari",fi,"Tuusulan kunta, vari"
"Perttiläntie",fi,"Perttiläntie"
"Huovitie",sv,"Knektvägen"
"Rautatient.-Kellok.",fi,"Rautatient.-Kellok."
"Leppävaara - Karakallio - Rastaala - Jupperi",fi,"Leppävaara - Karakallio - Rastaala - Jupperi"
"Ansaritie",fi,"Ansaritie"
"Talmantie",fi,"Talmantie"
"Metsätorpantie 7",sv,"Skogstorpsvägen 7"
"Jollaksen aukio",fi,"Jollaksen aukio"
"Porolahden koulu",sv,"Porovikens skola"
"Kalasääksenkatu",sv,"Fiskgjusgatan"
"Itäkeskuksen metroasema",fi,"Itäkeskuksen metroasema"
"Ruorimiehentie 17",fi,"Ruorimiehentie 17"
"Angervotie 12",fi,"Angervotie 12"
"Kuusitie 8",fi,"Kuusitie 8"
"Ulappasaarentie 10",sv,"Fjärdholmsvägen 10"
"Keskiyöntie 17",sv,"Midnattsvägen 17"
"Pelimannintie",fi,"Pelimannintie"
"Kirkonkylänpolku",fi,"Kirkonkylänpolku"
"Kasarmikatu",sv,"Kaserngatan"
"Sisäterminaali E",sv,"Inomhusterminal E"
"Jönsaksentie",sv,"Jönsasvägen"
"Pähkinärinne",fi,"Pähkinärinne"
"Kurk",fi,"Kurk"
"Pölansintie",fi,"Pölansintie"
"Erkkola",fi,"Erkkola"
"Nummelantie",sv,"Nummelantie"
"Fredrikinkatu 55",fi,"Fredrikinkatu 55"
"Penttiläntie",sv,"Bengtsvägen"
"Drusibackantie",sv,"Drusibackavägen"
"Mikkolantie",fi,"Mikkolantie"
"Nyby",fi,"Nyby"
"Honkakallionkuja",sv,"Furuberggränden"
"Jönsaksentie 6",sv,"Jönsasvägen 6"
"Lähderannantie",fi,"Lähderannantie"
"Paijalantie 288",sv,"Paijalantie 288"
"Laituri 26",fi,"Laituri 26"
"Neidonkuja",fi,"Neidonkuja"
"Asentajankatu 6",fi,"Asentajankatu 6"
"Rtori1-Paloheinä",sv,"Jvtorg1-Svedängen"
"Kampintori",fi,"Kampintori"
"Jokivarsi - Korso",sv,"Jokivarsi - Korso"
"Hyttimestari",sv,"Hyttmästaren"
"Testipysäkintie 2",fi,"Testipysäkintie 2"
"Kallioruohontie",fi,"Kallioruohontie"
"Tervakkotie",fi,"Tervakkotie"
"Lokkisaarentie 1",sv,"Trutholmsvägen 1"
"Keinuk-Kerava",sv,"Keinuk-Kervo"
"Maunulan ala-aste",fi,"Maunulan ala-aste"
"Segrispuisto",fi,"Segrispuisto"
"Aholan palstatie et.",fi,"Aholan palstatie et."
"Hakaniemi-Malmink",sv,"Hagnäs- Malmgård"
"Luoma-Masala-Jorvaksentie-Hirsala",fi,"Luoma-Masala-Jorvaksentie-Hirsala"
"Veikkola-Lapinkylä-Kauhala",fi,"Veikkola-Lapinkylä-Kauhala"
"Elielinaukio-Kuninkaantammi-Vantaanlaakso-Kivistö-Lentoasema",sv,"Elielplatsen-Kungseken-Vandadalen-Kivistö-Flygplatsen"
"Suonotkonkuja",fi,"Suonotkonkuja"
"Herttoniemi(M), tulo",fi,"Herttoniemi(M), tulo"
"Mäntytie",sv,"Tallvägen"
"Sompiontie",sv,"Sompiovägen"
"Paratiisikuja",sv,"Paratiisikuja"
"Ilkantie 4",fi,"Ilkantie 4"
"Tehtaanpuisto",fi,"Tehtaanpuisto"
"Kumpulan s-puutarha",fi,"Kumpulan s-puutarha"
"Itäkeskus (M), lait. 22",sv,"Östra centrum (M), pf. 22"
"Olympiaterm.-Kauppat",sv,"Olympiaterm-Salutorg"
"Tikkurila - Koivukylä - Peijas - Rekolanmäki",sv,"Dickursby - Björkby - Pejas - Räckhalsbacken"
"Kirjokalliontie",sv,"Vackerbergsvägen"
"Siuntiontien risteys",sv,"Sjundeåvägen korsn."
"Yliskyläntie 2",fi,"Yliskyläntie 2"
"Mestarinkatu",sv,"Mastargatan"
"Espoon keskus-Mikkelä-Kauklahti",fi,"Espoon keskus-Mikkelä-Kauklahti"
"Teirintie",fi,"Teirintie"
"Marjaniementie",sv,"Maruddsvägen"
"Kuninkaanmäki",sv,"Kungsbacka"
"Keravan asema - Kaleva - Mattilanpuisto / Hyrylä",fi,"Keravan asema - Kaleva - Mattilanpuisto / Hyrylä"
"Annankatu",sv,"Annegatan"
