trans_id,lang,translation
"http://aikataulut.hsl.fi/pysakit/fi/2211219.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211219.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211237.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211237.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211238.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211238.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211288.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211288.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211290.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211290.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211291.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211291.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211292.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211292.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211293.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211293.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211294.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211294.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211295.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211295.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211296.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211296.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211297.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211297.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211298.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211298.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211299.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211299.html"
"http://aikataulut.hsl.fi/pysakit/fi/2118207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2118207.html"
"http://aikataulut.hsl.fi/pysakit/fi/2118208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2118208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2118213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2118213.html"
"http://aikataulut.hsl.fi/pysakit/fi/2118214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2118214.html"
"http://aikataulut.hsl.fi/pysakit/fi/2512232.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2512232.html"
"http://aikataulut.hsl.fi/pysakit/fi/2512237.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2512237.html"
"http://aikataulut.hsl.fi/pysakit/fi/2222208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2222208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2222209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2222209.html"
"http://aikataulut.hsl.fi/pysakit/fi/2222210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2222210.html"
"http://aikataulut.hsl.fi/pysakit/fi/2222214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2222214.html"
"http://aikataulut.hsl.fi/pysakit/fi/2232213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2232213.html"
"http://aikataulut.hsl.fi/pysakit/fi/2314205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2314205.html"
"http://aikataulut.hsl.fi/pysakit/fi/2314206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2314206.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215226.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215226.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215227.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215227.html"
"http://aikataulut.hsl.fi/pysakit/fi/2613201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2613201.html"
"http://aikataulut.hsl.fi/pysakit/fi/2114202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2114202.html"
"http://aikataulut.hsl.fi/pysakit/fi/2114203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2114203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2222223.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2222223.html"
"http://aikataulut.hsl.fi/pysakit/fi/2222224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2222224.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215275.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215275.html"
"http://aikataulut.hsl.fi/pysakit/fi/2222268.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2222268.html"
"http://aikataulut.hsl.fi/pysakit/fi/2421226.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2421226.html"
"http://aikataulut.hsl.fi/pysakit/fi/2421227.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2421227.html"
"http://aikataulut.hsl.fi/pysakit/fi/2421222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2421222.html"
"http://aikataulut.hsl.fi/pysakit/fi/2421223.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2421223.html"
"http://aikataulut.hsl.fi/pysakit/fi/2311218.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2311218.html"
"http://aikataulut.hsl.fi/pysakit/fi/2312205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2312205.html"
"http://aikataulut.hsl.fi/pysakit/fi/2312206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2312206.html"
"http://aikataulut.hsl.fi/pysakit/fi/2312203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2312203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2314222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2314222.html"
"http://aikataulut.hsl.fi/pysakit/fi/2314223.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2314223.html"
"http://aikataulut.hsl.fi/pysakit/fi/2114201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2114201.html"
"http://aikataulut.hsl.fi/pysakit/fi/2422211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2422211.html"
"http://aikataulut.hsl.fi/pysakit/fi/2422212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2422212.html"
"http://aikataulut.hsl.fi/pysakit/fi/2421202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2421202.html"
"http://aikataulut.hsl.fi/pysakit/fi/2421203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2421203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2421208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2421208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2422201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2422201.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111221.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111254.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111254.html"
"http://aikataulut.hsl.fi/pysakit/fi/2634278.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2634278.html"
"http://aikataulut.hsl.fi/pysakit/fi/2634279.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2634279.html"
"http://aikataulut.hsl.fi/pysakit/fi/2632233.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2632233.html"
"http://aikataulut.hsl.fi/pysakit/fi/2632234.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2632234.html"
"http://aikataulut.hsl.fi/pysakit/fi/2214262.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2214262.html"
"http://aikataulut.hsl.fi/pysakit/fi/2214263.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2214263.html"
"http://aikataulut.hsl.fi/pysakit/fi/2232215.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2232215.html"
"http://aikataulut.hsl.fi/pysakit/fi/2232216.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2232216.html"
"http://aikataulut.hsl.fi/pysakit/fi/2212201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2212201.html"
"http://aikataulut.hsl.fi/pysakit/fi/2712208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2712208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2712211.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2712211.html"
"http://aikataulut.hsl.fi/pysakit/fi/2132244.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2132244.html"
"http://aikataulut.hsl.fi/pysakit/fi/2132245.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2132245.html"
"http://aikataulut.hsl.fi/pysakit/fi/2632242.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2632242.html"
"http://aikataulut.hsl.fi/pysakit/fi/2632243.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2632243.html"
"http://aikataulut.hsl.fi/pysakit/fi/2632246.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2632246.html"
"http://aikataulut.hsl.fi/pysakit/fi/2632247.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2632247.html"
"http://aikataulut.hsl.fi/pysakit/fi/2632258.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2632258.html"
"http://aikataulut.hsl.fi/pysakit/fi/2432223.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2432223.html"
"http://aikataulut.hsl.fi/pysakit/fi/2432224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2432224.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215259.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215259.html"
"http://aikataulut.hsl.fi/pysakit/fi/2612501.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2612501.html"
"http://aikataulut.hsl.fi/pysakit/fi/2612551.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2612551.html"
"http://aikataulut.hsl.fi/pysakit/fi/2613274.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2613274.html"
"http://aikataulut.hsl.fi/pysakit/fi/2613275.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2613275.html"
"http://aikataulut.hsl.fi/pysakit/fi/2612266.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2612266.html"
"http://aikataulut.hsl.fi/pysakit/fi/2612269.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2612269.html"
"http://aikataulut.hsl.fi/pysakit/fi/2511207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2511207.html"
"http://aikataulut.hsl.fi/pysakit/fi/2511210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2511210.html"
"http://aikataulut.hsl.fi/pysakit/fi/2252205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2252205.html"
"http://aikataulut.hsl.fi/pysakit/fi/2252206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2252206.html"
"http://aikataulut.hsl.fi/pysakit/fi/2242232.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2242232.html"
"http://aikataulut.hsl.fi/pysakit/fi/2252203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2252203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2252204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2252204.html"
"http://aikataulut.hsl.fi/pysakit/fi/2122220.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2122220.html"
"http://aikataulut.hsl.fi/pysakit/fi/2122221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2122221.html"
"http://aikataulut.hsl.fi/pysakit/fi/2212204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2212204.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211274.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211274.html"
"http://aikataulut.hsl.fi/pysakit/fi/2211275.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2211275.html"
"http://aikataulut.hsl.fi/pysakit/fi/2332202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2332202.html"
"http://aikataulut.hsl.fi/pysakit/fi/2332203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2332203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2311219.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2311219.html"
"http://aikataulut.hsl.fi/pysakit/fi/2314224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2314224.html"
"http://aikataulut.hsl.fi/pysakit/fi/2314225.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2314225.html"
"http://aikataulut.hsl.fi/pysakit/fi/2413223.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2413223.html"
"http://aikataulut.hsl.fi/pysakit/fi/2321201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2321201.html"
"http://aikataulut.hsl.fi/pysakit/fi/2321224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2321224.html"
"http://aikataulut.hsl.fi/pysakit/fi/2321259.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2321259.html"
"http://aikataulut.hsl.fi/pysakit/fi/2323214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2323214.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215209.html"
"http://aikataulut.hsl.fi/pysakit/fi/2988208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2988208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2214601.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2214601.html"
"http://aikataulut.hsl.fi/pysakit/fi/2214602.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2214602.html"
"http://aikataulut.hsl.fi/pysakit/fi/2212212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2212212.html"
"http://aikataulut.hsl.fi/pysakit/fi/2214248.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2214248.html"
"http://aikataulut.hsl.fi/pysakit/fi/2214250.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2214250.html"
"http://aikataulut.hsl.fi/pysakit/fi/2214251.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2214251.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215228.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215228.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215229.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215229.html"
"http://aikataulut.hsl.fi/pysakit/fi/2643269.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2643269.html"
"http://aikataulut.hsl.fi/pysakit/fi/2643270.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2643270.html"
"http://aikataulut.hsl.fi/pysakit/fi/2635224.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2635224.html"
"http://aikataulut.hsl.fi/pysakit/fi/2711268.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2711268.html"
"http://aikataulut.hsl.fi/pysakit/fi/2116218.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2116218.html"
"http://aikataulut.hsl.fi/pysakit/fi/2116285.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2116285.html"
"http://aikataulut.hsl.fi/pysakit/fi/2613008.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2613008.html"
"http://aikataulut.hsl.fi/pysakit/fi/2613009.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2613009.html"
"http://aikataulut.hsl.fi/pysakit/fi/2511251.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2511251.html"
"http://aikataulut.hsl.fi/pysakit/fi/2511252.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2511252.html"
"http://aikataulut.hsl.fi/pysakit/fi/2511250.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2511250.html"
"http://aikataulut.hsl.fi/pysakit/fi/2511258.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2511258.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215204.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111217.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111218.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111218.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111281.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111281.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111206.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111207.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111202.html"
"http://aikataulut.hsl.fi/pysakit/fi/2413203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2413203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2724208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2724208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2724209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2724209.html"
"http://aikataulut.hsl.fi/pysakit/fi/2621231.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2621231.html"
"http://aikataulut.hsl.fi/pysakit/fi/2722263.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2722263.html"
"http://aikataulut.hsl.fi/pysakit/fi/2722264.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2722264.html"
"http://aikataulut.hsl.fi/pysakit/fi/2141208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2141208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2141213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2141213.html"
"http://aikataulut.hsl.fi/pysakit/fi/2241203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2241203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2241204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2241204.html"
"http://aikataulut.hsl.fi/pysakit/fi/2242234.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2242234.html"
"http://aikataulut.hsl.fi/pysakit/fi/2242235.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2242235.html"
"http://aikataulut.hsl.fi/pysakit/fi/2522217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2522217.html"
"http://aikataulut.hsl.fi/pysakit/fi/2522230.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2522230.html"
"http://aikataulut.hsl.fi/pysakit/fi/2522229.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2522229.html"
"http://aikataulut.hsl.fi/pysakit/fi/2522222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2522222.html"
"http://aikataulut.hsl.fi/pysakit/fi/2522223.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2522223.html"
"http://aikataulut.hsl.fi/pysakit/fi/2432229.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2432229.html"
"http://aikataulut.hsl.fi/pysakit/fi/2212216.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2212216.html"
"http://aikataulut.hsl.fi/pysakit/fi/2212217.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2212217.html"
"http://aikataulut.hsl.fi/pysakit/fi/2434201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2434201.html"
"http://aikataulut.hsl.fi/pysakit/fi/2434204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2434204.html"
"http://aikataulut.hsl.fi/pysakit/fi/2434205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2434205.html"
"http://aikataulut.hsl.fi/pysakit/fi/2242229.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2242229.html"
"http://aikataulut.hsl.fi/pysakit/fi/2242231.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2242231.html"
"http://aikataulut.hsl.fi/pysakit/fi/2122232.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2122232.html"
"http://aikataulut.hsl.fi/pysakit/fi/2242233.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2242233.html"
"http://aikataulut.hsl.fi/pysakit/fi/2621232.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2621232.html"
"http://aikataulut.hsl.fi/pysakit/fi/2642203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2642203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2642204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2642204.html"
"http://aikataulut.hsl.fi/pysakit/fi/2143259.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2143259.html"
"http://aikataulut.hsl.fi/pysakit/fi/2143265.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2143265.html"
"http://aikataulut.hsl.fi/pysakit/fi/2141206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2141206.html"
"http://aikataulut.hsl.fi/pysakit/fi/2143205.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2143205.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215206.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215206.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215207.html"
"http://aikataulut.hsl.fi/pysakit/fi/2415246.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2415246.html"
"http://aikataulut.hsl.fi/pysakit/fi/2415266.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2415266.html"
"http://aikataulut.hsl.fi/pysakit/fi/2118210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2118210.html"
"http://aikataulut.hsl.fi/pysakit/fi/2118301.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2118301.html"
"http://aikataulut.hsl.fi/pysakit/fi/2118403.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2118403.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111248.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111248.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111212.html"
"http://aikataulut.hsl.fi/pysakit/fi/2111213.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2111213.html"
"http://aikataulut.hsl.fi/pysakit/fi/2722286.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2722286.html"
"http://aikataulut.hsl.fi/pysakit/fi/2722287.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2722287.html"
"http://aikataulut.hsl.fi/pysakit/fi/2412281.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2412281.html"
"http://aikataulut.hsl.fi/pysakit/fi/2415203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2415203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2443282.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2443282.html"
"http://aikataulut.hsl.fi/pysakit/fi/2443202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2443202.html"
"http://aikataulut.hsl.fi/pysakit/fi/2443221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2443221.html"
"http://aikataulut.hsl.fi/pysakit/fi/2633202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2633202.html"
"http://aikataulut.hsl.fi/pysakit/fi/2634203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2634203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2231202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2231202.html"
"http://aikataulut.hsl.fi/pysakit/fi/2231208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2231208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2231212.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2231212.html"
"http://aikataulut.hsl.fi/pysakit/fi/2231214.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2231214.html"
"http://aikataulut.hsl.fi/pysakit/fi/2231221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2231221.html"
"http://aikataulut.hsl.fi/pysakit/fi/2231222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2231222.html"
"http://aikataulut.hsl.fi/pysakit/fi/2231225.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2231225.html"
"http://aikataulut.hsl.fi/pysakit/fi/2231219.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2231219.html"
"http://aikataulut.hsl.fi/pysakit/fi/2231220.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2231220.html"
"http://aikataulut.hsl.fi/pysakit/fi/2112201.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2112201.html"
"http://aikataulut.hsl.fi/pysakit/fi/2112202.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2112202.html"
"http://aikataulut.hsl.fi/pysakit/fi/2511253.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2511253.html"
"http://aikataulut.hsl.fi/pysakit/fi/2511254.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2511254.html"
"http://aikataulut.hsl.fi/pysakit/fi/2215203.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2215203.html"
"http://aikataulut.hsl.fi/pysakit/fi/2151226.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2151226.html"
"http://aikataulut.hsl.fi/pysakit/fi/2151228.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2151228.html"
"http://aikataulut.hsl.fi/pysakit/fi/2151200.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2151200.html"
"http://aikataulut.hsl.fi/pysakit/fi/2151220.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2151220.html"
"http://aikataulut.hsl.fi/pysakit/fi/2151221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2151221.html"
"http://aikataulut.hsl.fi/pysakit/fi/2151207.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2151207.html"
"http://aikataulut.hsl.fi/pysakit/fi/2151208.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2151208.html"
"http://aikataulut.hsl.fi/pysakit/fi/2712262.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2712262.html"
"http://aikataulut.hsl.fi/pysakit/fi/2712263.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2712263.html"
"http://aikataulut.hsl.fi/pysakit/fi/2714221.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2714221.html"
"http://aikataulut.hsl.fi/pysakit/fi/2714222.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2714222.html"
"http://aikataulut.hsl.fi/pysakit/fi/2332204.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2332204.html"
"http://aikataulut.hsl.fi/pysakit/fi/2432209.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2432209.html"
"http://aikataulut.hsl.fi/pysakit/fi/2432210.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2432210.html"
"http://aikataulut.hsl.fi/pysakit/fi/2724252.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2724252.html"
"http://aikataulut.hsl.fi/pysakit/fi/2724279.html",fi,"http://aikataulut.hsl.fi/pysakit/fi/2724279.html"
