shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_531024,38.898711,-76.975018,12,457.42874154
p_531024,38.898782,-76.975473,13,497.67914902
p_531024,38.898836,-76.975786,14,525.48567354
p_531024,38.898874,-76.975995,15,544.10063898
p_531024,38.89892,-76.976248,16,566.63453192
p_531024,38.898984,-76.976595,17,597.56370569
p_531024,38.899062,-76.977092,18,641.53909733
p_531024,38.8991393299119,-76.9775186123289,19,679.53004899
p_531024,38.8992217383517,-76.9779988462298,20,722.18262485
p_531024,38.8993404563722,-76.9786458811196,21,779.83880854
p_531024,38.8994474966026,-76.9792635895348,22,834.7261044
p_531024,38.8995074662318,-76.9795626038448,23,861.50596267
p_531024,38.8995847320026,-76.9799420136096,24,895.51862808
p_531024,38.899635193487,-76.9801952424677,25,918.18892423
p_531024,38.899771,-76.980959,26,986.13747079
p_531024,38.8998588759027,-76.9814740947461,27,1031.87364707
p_531024,38.9000122948042,-76.9823454690287,28,1109.35885156
p_531024,38.9000244645582,-76.9824342901344,29,1117.18146761
p_531024,38.9000300027051,-76.9825099807998,30,1123.77621566
p_531024,38.9000383796989,-76.9826069709258,31,1132.241169
p_531024,38.9000499278059,-76.9827125875562,32,1141.49247342
p_531024,38.9000690665899,-76.9828390294373,33,1152.66495432
p_531024,38.9000880515786,-76.9829554824395,34,1162.98454362
p_531024,38.9000880238147,-76.9829545726568,35,1163.0635257
p_531024,38.900148536534,-76.9832861361625,36,1192.60009446
p_531024,38.9001762800357,-76.9834164374921,37,1204.31556458
p_531024,38.9002196642766,-76.9836128448976,38,1222.02114759
p_531024,38.900230941378,-76.9837081913716,39,1230.38646503
p_531024,38.9002424898835,-76.9838274152105,40,1240.80804265
p_531024,38.900254,-76.984022,41,1257.73615957
p_531024,38.9002543435012,-76.9842089785231,42,1273.95619831
p_531024,38.9002547562638,-76.9842938399636,43,1281.3178925
p_531024,38.9002623388724,-76.9847645368386,44,1322.15853053
p_531024,38.9002595094399,-76.9855216926975,45,1387.84095486
p_531024,38.9002659341594,-76.9864990610298,46,1472.62859334
p_531024,38.9002626444431,-76.9880243376326,47,1604.94361827
p_531024,38.9002632428086,-76.9880223478687,48,1605.12856681
p_531024,38.9002647827284,-76.9902300262582,49,1796.64007723
p_531024,38.9002684553948,-76.9922854819038,50,1974.94696967
p_531024,38.9002640189032,-76.9938412140011,51,2109.90433537
p_531024,38.9002673234627,-76.9946594180331,52,2180.88275216
p_531024,38.9002674782815,-76.9946595959296,53,2180.90585073
p_531024,38.9002664483511,-76.9962826051276,54,2321.69850884
p_531024,38.9002711053214,-76.9992218961705,55,2576.67630136
p_531024,38.9002721779524,-76.9992190031764,56,2576.95407953
p_531024,38.9002712114519,-77.0016850393235,57,2790.87750691
p_531024,38.9002711557059,-77.0016831149739,58,2791.04455483
p_531024,38.900269995407,-77.0019583891104,59,2814.92434955
p_531024,38.9002662136255,-77.0019907851665,60,2817.76582488
p_531024,38.9002586500434,-77.0020231812285,61,2820.69887093
p_531024,38.900246880235,-77.0020758784374,62,2825.45330779
p_531024,38.9002391918874,-77.0025978157309,63,2870.73832215
p_531024,38.9002355983377,-77.004663475282,64,3049.93043318
