price,address,area,latLong.longitude,latLong.latitude,country,price_per_sqm
614249.09,"3102 NE Dekum St, Portland, OR 97211",203.364667,-122.63371,45.57167,USA,3020.431715407082
122850.0,"2834 N Terry St, Portland, OR",,-122.69632,45.57964,USA,
1669850.0,"2934 SW Montgomery Dr, Portland, OR 97201",364.737178,-122.70728,45.501743,USA,4578.228107034376
454090.0,"9003 N Saint Louis Ave, Portland, OR 97203",194.074367,-122.75452,45.594666,USA,2339.7731860179147
771680.0,"9521 NW Randall Ln, Portland, OR 97229",261.521945,-122.77516,45.530342,USA,2950.727519252734
878150.0,"444 SE 72nd Ave, Portland, OR 97215",262.358072,-122.58834,45.519947,USA,3347.1430602676483
727909.0,"2057 SW Montgomery Dr, Portland, OR 97201",141.769978,-122.69979,45.512577,USA,5134.436855171128
454090.0,"3627 SE 28th Ave, Portland, OR 97202",139.447403,-122.6379,45.496536,USA,3256.3532215798955
363909.0,"1534 SE Knight St, Portland, OR 97202",59.086308,-122.649925,45.4799,USA,6158.939563460286
636545.0,"4244 SW Huber St, Portland, OR 97219",250.652294,-122.72102,45.45175,USA,2539.553857025541
432250.0,"2227 SE 32nd Pl, Portland, OR 97214",98.291374,-122.63193,45.5069,USA,4397.639206874857
581490.0,"8424 SW 30th Ave, Portland, OR 97219",237.274262,-122.70747,45.463886,USA,2450.7082862615753
741650.0,"2266 SE Spruce Ave, Portland, OR 97214",267.653543,-122.65305,45.50649,USA,2770.932869736008
523159.0,"5440 NE 34th Ave, Portland, OR 97211",159.049936,-122.629326,45.56257,USA,3289.2751368350127
454090.0,"1833 SE 117th Ave, Portland, OR 97216",162.766056,-122.543274,45.510094,USA,2789.8322977119997
1160250.0,"2844 NE 22nd Ave, Portland, OR 97212",296.36057,-122.64285,45.54347,USA,3914.9944947129775
369005.0,"16510 SE Woodward St, Portland, OR 97236",205.873048,-122.49334,45.501057,USA,1792.3910078797685
