price,adresse,area,city,country,price_per_sqm
563364.5,"Skipanesvegen 29, Hjellestad",147.0,Bergen,Norway,3832.41156462585
439954.49999999994,"Søndre Lyderhornslien 56, Loddefjord",88.0,Bergen,Norway,4999.482954545454
289361.79199999996,"Sandsliåsen 59, Sandsli",39.0,Bergen,Norway,7419.5331282051275
484029.49999999994,"Bøneslien 18, Bønes",152.0,Bergen,Norway,3184.4046052631575
343309.506,"Ibsens gate 68, Bergen",182.0,Bergen,Norway,1886.315967032967
431990.89999999997,"Storbotn 87, Øvre Ervik",70.0,Bergen,Norway,6171.2985714285705
298914.5,"Sandslimarka 249C, Sandsli",82.0,Bergen,Norway,3645.298780487805
175439.13999999998,"Tollbodallmenningen 39, Bergen",51.0,Bergen,Norway,3439.9831372549015
955674.3119999999,"Damsgårdsveien 91, Bergen",43.0,Bergen,Norway,22224.983999999997
419804.012,"Klauvarinden 21C, Salhus",130.0,Bergen,Norway,3229.2616307692306
397246.89999999997,"Nordre Vallavegen 27, Nesttun",171.0,Bergen,Norway,2323.0812865497073
435485.93999999994,"Nordåsbrotet 111, Rådal",108.0,Bergen,Norway,4032.2772222222216
439924.39999999997,"Øvregaten 43A, Bergen",80.0,Bergen,Norway,5499.054999999999
1764762.9999999998,"Nattlandsfjellet 77, Bergen",366.0,Bergen,Norway,4821.756830601093
166658.626,"Fagerhaug 2A, Indre Arna",48.0,Bergen,Norway,3472.054708333333
1101981.64,"Kringsjåveien 119, Laksevåg",218.0,Bergen,Norway,5054.961651376147
900745.94,"Myraskjenet 23A, Mathopen",204.0,Bergen,Norway,4415.421274509804
537370.14,"Sandviksveien 171B, Bergen",111.0,Bergen,Norway,4841.172432432432
1014606.4999999999,"Flyen 37C, Hjellestad",300.0,Bergen,Norway,3382.021666666666
285784.44999999995,"Herman Grans vei 46, Laksevåg",48.0,Bergen,Norway,5953.842708333333
662006.5,"Indre Steinsvik 19C, Rådal",159.0,Bergen,Norway,4163.562893081761
343010.13999999996,"Hednemyrsvegen 80, Kalandseidet",118.0,Bergen,Norway,2906.8655932203387
503908.39999999997,"Nylandsveien 17, Bergen",117.0,Bergen,Norway,4306.909401709401
925660.9999999999,"Nygårdsgaten 72B, Bergen",158.0,Bergen,Norway,5858.613924050632
1468385.4999999998,"Store Starefossen 2F og 2G, Bergen",212.0,Bergen,Norway,6926.346698113206
485185.33999999997,"Søråshøgda 192, Rådal",94.0,Bergen,Norway,5161.546170212766
484932.49999999994,"Øvre Riplegården 109, Laksevåg",136.0,Bergen,Norway,3565.680147058823
654222.6399999999,"Gyldenprisveien 16H, Bergen",94.0,Bergen,Norway,6959.8153191489355
608341.6399999999,"Breiholten 8, Kokstad",214.0,Bergen,Norway,2842.717943925233
351718.5,"Birkelandsbotn 25, Nesttun",111.0,Bergen,Norway,3168.635135135135
749360.9999999999,"Garmann gate 1, Bergen",177.0,Bergen,Norway,4233.677966101694
615650.6939999999,"Liaflaten 2A, Nyborg",101.0,Bergen,Norway,6095.551425742573
273285.63999999996,"Løbergsveien 41, Bergen",48.0,Bergen,Norway,5693.450833333332
413509.49999999994,"Gamlehaugvegen 45, Paradis",87.0,Bergen,Norway,4752.982758620689
502304.49999999994,"Stokkedalen 75B, Straumsgrend",185.0,Bergen,Norway,2715.159459459459
460557.94999999995,"Torborg Nedreaas' gate 20, Bergen",120.0,Bergen,Norway,3837.9829166666664
1200726.8399999999,"Møllendalsveien 64A, Bergen",100.0,Bergen,Norway,12007.268399999999
309096.89999999997,"Bruraleitet 15, Ytre Arna",185.0,Bergen,Norway,1670.794054054054
352960.33999999997,"Fosswinckels gate 29 snr. 3, Bergen",40.0,Bergen,Norway,8824.0085
837587.5399999999,"Gamle Kalvedalsveien 27, Bergen",155.0,Bergen,Norway,5403.790580645161
