price,address,area,city,country,price_per_sqm,lat_long
1012885.64,"Nordåstræet 89A, Rådal",240.0,Bergen,Norway,4220.356833333333,"(60.310199, 5.320345)"
491565.25,"Hans Hauges gate 16, Bergen",70.0,Bergen,Norway,7022.360714285714,"(60.4009589, 5.3246795)"
572179.5,"Eidsvåglien 35, Eidsvåg i Åsane",174.0,Bergen,Norway,3288.387931034483,"(60.4405245, 5.2919579)"
492117.8,"Apeltunvegen 2F, Nesttun",74.0,Bergen,Norway,6650.240540540541,"(60.311555, 5.355364)"
314909.21,"Lotheveien 7, Bergen",234.0,Bergen,Norway,1345.7658547008546,"(60.379672, 5.32198)"
353140.08,"Karl Jebsens veg 3, Ytre Arna",81.0,Bergen,Norway,4359.754074074073,"(60.4589929, 5.4326624)"
581845.8999999999,"Breiviken 2, Bergen",58.0,Bergen,Norway,10031.825862068965,"(60.421526, 5.301105)"
503336.5,"Hetlebakkvegen 117A, Nyborg",77.0,Bergen,Norway,6536.837662337662,"(60.4707078, 5.3974402)"
305226.126,"Ture Nermans vei 13, Fyllingsdalen",214.0,Bergen,Norway,1426.290308411215,"(60.3406923, 5.2868408)"
296204.64,"Klaus Hanssens vei 35, Bergen",73.0,Bergen,Norway,4057.597808219177,"(60.378322, 5.3447355)"
1321454.5,"Nils Langhelles vei 25A, Fyllingsdalen",55.0,Bergen,Norway,24026.445454545454,"(60.350187, 5.306753)"
944086.5,"Nydalen 8, Paradis",299.0,Bergen,Norway,3157.479933110368,"(60.3409069, 5.3431782)"
498898.04,"Munkebotn 35, Bergen",318.0,Bergen,Norway,1568.8617610062893,"(60.4177417, 5.3176226)"
502541.0,"Fanavegen 85, Rådal",85.0,Bergen,Norway,5912.247058823528,"(60.296857, 5.325613)"
794231.4999999999,"Steintræbakken 7, Rådal",88.0,Bergen,Norway,9025.357954545454,"(60.2920495, 5.3553793)"
486066.84,"Grimseidvegen 427, Hjellestad",231.0,Bergen,Norway,2104.1854545454544,"(60.2660939, 5.2579625)"
673428.2459999999,"Sandviksboder 78, Bergen",120.0,Bergen,Norway,5611.90205,"(60.4144168, 5.318875274975166)"
352880.36,"KRÅVASSLIA 62, Flaktveit",70.0,Bergen,Norway,5041.148,"(60.4615051, 5.3745997)"
422088.0,"Petedalsheia 32, Sandsli",125.0,Bergen,Norway,3376.704,"(nan, nan)"
483965.0,"Saudalskleivane 54, Mjølkeråen",202.0,Bergen,Norway,2395.866336633663,"(60.4808797, 5.2625967)"
793370.6399999999,"Haugeveien 3, Bergen",87.0,Bergen,Norway,9119.202758620688,"(60.3963784, 5.3108659)"
361561.028,"Hamrevegen 37C, Kalandseidet",59.0,Bergen,Norway,6128.1530169491525,"(nan, nan)"
374723.5,"Steinsvikskrenten 45, Rådal",71.0,Bergen,Norway,5277.795774647887,"(nan, nan)"
670704.5399999999,"Mildevegen 84, Hjellestad",333.0,Bergen,Norway,2014.1277477477477,"(nan, nan)"
582692.1399999999,"Teatergaten 46, Bergen",96.0,Bergen,Norway,6069.709791666665,"(60.3904989, 5.3163252)"
353187.982,"Fageråsen 31 A, Bergen",66.0,Bergen,Norway,5351.33306060606,"(60.3574274, 5.3540071)"
802961.5319999999,"Møllendalsveien 64, Bergen",87.0,Bergen,Norway,9229.442896551724,"(60.380025, 5.350624)"
158735.27399999998,"Frydenbøveien 22A, Laksevåg",29.0,Bergen,Norway,5473.6301379310335,"(nan, nan)"
297312.062,"Ture Nermans vei 57, Fyllingsdalen",73.0,Bergen,Norway,4072.76797260274,"(60.3393119, 5.2847312)"
464506.64,"Von der Ohes vei 6, Bergen",75.0,Bergen,Norway,6193.421866666666,"(60.4016747, 5.3226366)"
415044.342,"Sundts veg 93, Nesttun",64.0,Bergen,Norway,6485.067843749999,"(60.313862, 5.332424)"
552390.8999999999,"Haukedalsveien 55, Tertnes",164.0,Bergen,Norway,3368.2371951219507,"(60.4602068, 5.2999589)"
794114.5399999999,"Stokkedalen 103, Straumsgrend",213.0,Bergen,Norway,3728.237276995305,"(60.3336313, 5.2882787)"
238576.9,"Trengereidlia 20, Trengereid",171.0,Bergen,Norway,1395.1865497076024,"(60.4293193, 5.628676)"
573856.5,"Kipo 3A, Tertnes",117.0,Bergen,Norway,4904.75641025641,"(60.4573004, 5.2824005)"
246310.536,"Solheimsgaten 66, Bergen",53.0,Bergen,Norway,4647.368603773585,"(60.3753904, 5.3391278)"
503026.9,"Markaneset 24D, Søreidgrend",117.0,Bergen,Norway,4299.375213675214,"(60.314567, 5.2876366)"
672734.1399999999,"Nordeidåsen 8, Søreidgrend",155.0,Bergen,Norway,4340.220258064515,"(60.3192399, 5.2728433)"
881541.2799999999,"Nordåsvegen 134B, Rådal",127.0,Bergen,Norway,6941.269921259842,"(60.3065046, 5.3111962)"
396730.9,"Hamrevegen 25C, Kalandseidet",148.0,Bergen,Norway,2680.614189189189,"(60.2884884, 5.3913259)"
1852765.94,"Svartefjorden 98, Fana",59.0,Bergen,Norway,31402.81254237288,"(60.231365, 5.289177)"
441672.78,"Sandslimarka 273, Sandsli",98.0,Bergen,Norway,4506.865102040816,"(60.295233, 5.281797)"
436664.398,"Myrdalsvegen 44 K, Nyborg",360.0,Bergen,Norway,1212.956661111111,"(60.471346, 5.318707)"
837510.9999999999,"Farvikvegen 11A, Morvik",80.0,Bergen,Norway,10468.8875,"(60.4775227, 5.2563541)"
574216.84,"Morvikbotn 256, Morvik",78.0,Bergen,Norway,7361.754358974358,"(60.471073, 5.280185)"
448181.26,"Odins veg 45 og 47, Nesttun",312.0,Bergen,Norway,1436.4783974358973,"(60.3099734, 5.3452806)"
293939.83,"Haukedalen 71, Ulset",138.0,Bergen,Norway,2129.998768115942,"(60.464287, 5.2937963)"
290936.28,"Camilla Colletts gate 5F, Bergen",64.0,Bergen,Norway,4545.879375,"(60.372397, 5.346307)"
