from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:10226,RUT:ServiceJourney:cb9bb9b94548436a061999f1a42b60ff,NSR:Quay:10221,RUT:ServiceJourney:dc5d1dea9084ab2ebd97f776bf584805,1
NSR:Quay:10102,RUT:ServiceJourney:3cea5db27c081a67a4b7c125770f6737,NSR:Quay:10100,RUT:ServiceJourney:65a7167bd5d595ce4fdcb2066f16a440,1
NSR:Quay:7786,RUT:ServiceJourney:0b99119f2fa0c4e9218347693f232d05,NSR:Quay:7786,RUT:ServiceJourney:7d5c7135a30306965ebf40ae24ead526,1
NSR:Quay:6816,RUT:ServiceJourney:d28a01793f10d5e2d907cd745be1b02d,NSR:Quay:6817,RUT:ServiceJourney:ba9d86633395ddb98a8390e191a9e695,1
NSR:Quay:10100,RUT:ServiceJourney:05406e886d591870e66940af708f1e3e,NSR:Quay:10102,RUT:ServiceJourney:e212de9172a0e2abd5ea48a37cb5d64d,1
NSR:Quay:10102,RUT:ServiceJourney:e212de9172a0e2abd5ea48a37cb5d64d,NSR:Quay:10100,RUT:ServiceJourney:05406e886d591870e66940af708f1e3e,1
NSR:Quay:12446,RUT:ServiceJourney:4166c41ff8d67199ab83a9df2e052975,NSR:Quay:12432,RUT:ServiceJourney:c0e1b0a494486b8ee26fa5c3fb9d6522,1
NSR:Quay:8250,RUT:ServiceJourney:c87dfa0191ea2219b5db422b8bd30919,NSR:Quay:8250,RUT:ServiceJourney:4936e13f7f0b9a87bfd00724564494dd,1
NSR:Quay:10098,RUT:ServiceJourney:55d76bf282012d787e4e766da3c5f723,NSR:Quay:10100,RUT:ServiceJourney:99dfce8f5869ae724e7cc4c890a9baf9,1
NSR:Quay:10102,RUT:ServiceJourney:e0758ee152f4561832ce627869a10e55,NSR:Quay:10098,RUT:ServiceJourney:0d84b7870160e24e24d14f4eb1a29303,1
NSR:Quay:6812,RUT:ServiceJourney:70ace82bb78b5f93657e0484a646754f,NSR:Quay:6816,RUT:ServiceJourney:62cd307b394f1dc7ba2fc622af0a8909,1
NSR:Quay:12431,RUT:ServiceJourney:1a4113c56bd8c12e68aeb4440cde2e51,NSR:Quay:12430,RUT:ServiceJourney:cb033f2ce14444952f9d49fd0842321b,1
NSR:Quay:10097,RUT:ServiceJourney:7fba726babc58ef669b02665a90d3ef8,NSR:Quay:10100,RUT:ServiceJourney:6aac3687f30206ee627d74aa4b58c733,1
NSR:Quay:10102,RUT:ServiceJourney:6d0cca32b9b1ffd85d421ca06d80ecfd,NSR:Quay:10098,RUT:ServiceJourney:18eeb4eb868056473d5e43eea63e75ef,1
NSR:Quay:5651,RUT:ServiceJourney:6d8eb29c8d8c81e83298a5708daeb73f,NSR:Quay:5653,RUT:ServiceJourney:afea366791656cfc9d0f35419b6754de,1
NSR:Quay:5653,RUT:ServiceJourney:093453ed3ad5a6863e51a6de0347dcf1,NSR:Quay:5651,RUT:ServiceJourney:eadc96ff6ac848235893af670536aa54,1
NSR:Quay:10100,RUT:ServiceJourney:e9c79d70bf465266ffb583be8af0fcd0,NSR:Quay:10102,RUT:ServiceJourney:c980a0a112073438b1194e6dfca702af,1
NSR:Quay:12580,RUT:ServiceJourney:c1f3b920a46e8f4d0f44973d4c1d31c6,NSR:Quay:12580,RUT:ServiceJourney:2d05ef1aa718a65623772a9543336eec,1
NSR:Quay:10100,RUT:ServiceJourney:daf32012f535b0eb4321086416d0079e,NSR:Quay:10102,RUT:ServiceJourney:547fdf78904a83e99092bd3631b762d6,1
NSR:Quay:6816,RUT:ServiceJourney:632a80bf7bc427846f69292f0dbb24d1,NSR:Quay:6812,RUT:ServiceJourney:f01ff8e0493a4786c65fd44a3e6b77bf,1
NSR:Quay:7786,RUT:ServiceJourney:b40d94a7c655877a56cd1d8826a318aa,NSR:Quay:7787,RUT:ServiceJourney:200a5d5994462dcd833705492f2604c5,1
NSR:Quay:7787,RUT:ServiceJourney:4c76e28951d15c088442037c9f757463,NSR:Quay:7786,RUT:ServiceJourney:507f3b66411620ad4d4b9af7edadb900,1
NSR:Quay:12431,RUT:ServiceJourney:baacbe1f2756d161299041f85a2421e7,NSR:Quay:12430,RUT:ServiceJourney:b00e9fa03f0603799dde62f613302f85,1
NSR:Quay:7786,RUT:ServiceJourney:ef1bcf5535fab13cffdc30d659b0b928,NSR:Quay:7786,RUT:ServiceJourney:4e0b841aba985f56cb71b7c0bb28c494,1
NSR:Quay:5653,RUT:ServiceJourney:a0673d2895b8a549bc269f6897168d6c,NSR:Quay:5651,RUT:ServiceJourney:25da13e65297c2fd45c0ce3db0bc4926,1
NSR:Quay:10100,RUT:ServiceJourney:09b299c7e5a5da01c6d0df31072e8f7a,NSR:Quay:10102,RUT:ServiceJourney:54fd9563ce81d710dc4d661703f18a60,1
NSR:Quay:10098,RUT:ServiceJourney:100860a2fe13b549ce00032b6410c5c6,NSR:Quay:10097,RUT:ServiceJourney:3032ec8ed66d977abbda8b33441b7975,1
NSR:Quay:6813,RUT:ServiceJourney:3b095f51f44c09c514accf8bba665c13,NSR:Quay:6812,RUT:ServiceJourney:360837c28ccd2fe120c7769a39e7d359,1
NSR:Quay:6816,RUT:ServiceJourney:b2530cec32ba22b6cf0863808d885ca8,NSR:Quay:6813,RUT:ServiceJourney:291483a6dbd9fb68b20ae1a1c7009704,1
NSR:Quay:5651,RUT:ServiceJourney:9b88df032d1d5fa93d12bc397df21c0e,NSR:Quay:5653,RUT:ServiceJourney:7640ce6b5b9725e91fb9db52b4a29da6,1
NSR:Quay:12580,RUT:ServiceJourney:fe968b945b0674ef146a7b89a0ddf74c,NSR:Quay:12580,RUT:ServiceJourney:256a7c19b7df974f16178bcb92876ee5,1
NSR:Quay:10226,RUT:ServiceJourney:7e7d522cb234728a2f149a75be0413e8,NSR:Quay:10221,RUT:ServiceJourney:1ee0af92c3dde32b8e3d8c2de9531ecc,1
NSR:Quay:10221,RUT:ServiceJourney:5b5134221742dab86fd4eac38577a5e5,NSR:Quay:10226,RUT:ServiceJourney:7056b70803097bc4ff763c99318b6fe6,1
NSR:Quay:7786,RUT:ServiceJourney:f291fc39d4df9c689456e7a7e805c496,NSR:Quay:7786,RUT:ServiceJourney:3041962e084f898288d474f769055b2e,1
NSR:Quay:6812,RUT:ServiceJourney:ad38af3c3ca164446ad6c67a005f583d,NSR:Quay:6816,RUT:ServiceJourney:9d9b7df4ec692efc4f6845786c2237ff,1
NSR:Quay:10102,RUT:ServiceJourney:ed33a9336565b2402f7c414961cd7444,NSR:Quay:10098,RUT:ServiceJourney:e835ec72cd10f68527b7bea7db9d1365,1
NSR:Quay:10098,RUT:ServiceJourney:67076e062b36762fb3f9763053278f5e,NSR:Quay:10102,RUT:ServiceJourney:69770b139afe4ba9c0ab87de8de9c5ad,1
NSR:Quay:12580,RUT:ServiceJourney:eae86661ab3399bda177a377de29afb9,NSR:Quay:12581,RUT:ServiceJourney:be64e533ce917745fa8d7e23930e4122,1
NSR:Quay:10100,RUT:ServiceJourney:0b70a6ce6173d14f13dff9077202b38e,NSR:Quay:10102,RUT:ServiceJourney:4d40f3c7e50a3918ae9d0f544fc500dc,1
NSR:Quay:7786,RUT:ServiceJourney:dc1af0dc12b2b4a9b3a77b7ad0b7051b,NSR:Quay:7786,RUT:ServiceJourney:1b8c157b00e6c4fa826811112d6f6a79,1
NSR:Quay:7787,RUT:ServiceJourney:1854ac6ca65421b5f23a88e536b26fad,NSR:Quay:7786,RUT:ServiceJourney:becaa50d85fb9524c9d12297966a5863,1
NSR:Quay:5652,RUT:ServiceJourney:549531003fff8dc8825f5d2ebc003fbe,NSR:Quay:5653,RUT:ServiceJourney:54e5308dcdf4f60a2b38544d50ed92c5,1
NSR:Quay:10100,RUT:ServiceJourney:1c174471e940038c03e8f5c1729618eb,NSR:Quay:10102,RUT:ServiceJourney:1cf5982ea6e4df2522568313d82df186,1
NSR:Quay:10098,RUT:ServiceJourney:03e3b6d61641271fe34c158ea853b0a3,NSR:Quay:10100,RUT:ServiceJourney:f138b958823338e36dfde50a9b66b26e,1
NSR:Quay:8250,RUT:ServiceJourney:3fafe8d52154c80562a28726c997dc58,NSR:Quay:8250,RUT:ServiceJourney:9111ce8ddbe66976e02d37aa633654fb,1
NSR:Quay:10102,RUT:ServiceJourney:43964ec456044db1518b0725b99b88df,NSR:Quay:10100,RUT:ServiceJourney:7d43a4c37fee774658210e5f1026759b,1
NSR:Quay:5654,RUT:ServiceJourney:62eeed36570bf5406f2e42019de6d008,NSR:Quay:5652,RUT:ServiceJourney:e0526e7864f5a2efa24799fda9988e15,1
