agency_id,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color
RUT:Authority:RUT,RUT:Line:3737,3737,Nygård/Vestheim - Sandvoll - Langset,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3740,3740,Venger - Råholt,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3742,3742,Eidsvoll - Ås skole - Finstad,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3743,3743,Eidsvoll - Finstad - Dal  - Råholt,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:375,375,Strømmen - Olavsgaard - Helsfyr,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3771,3771,Jessheim - Dal - Råholt - Eidsvoll,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3772,3772,Jessheim - Eidsvoll/ Eidsvoll - Dal - Østli,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3773,3773,Åsgreina - Maura - Eidsvoll,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3780,3780,Eidsvoll - Bårlidalen - Neskollen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:380,380,Lillestrøm - Rv4 - Oslo bussterminal,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:381,381,Guldhaug-Tømte - Lillestrøm,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3810,B10,Nesoddtangen - Aker brygge,1008,682C88,FFFFFF
RUT:Authority:RUT,RUT:Line:3811,B11,Lysaker - Nesoddtangen,1008,682C88,FFFFFF
RUT:Authority:RUT,RUT:Line:3820,B20,Slemmestad - Aker brygge,1008,682C88,FFFFFF
RUT:Authority:RUT,RUT:Line:3821,B21,Son - Aker brygge,1008,682C88,FFFFFF
RUT:Authority:RUT,RUT:Line:3833,3833,Ask - Veståsen - Eltonåsen - Nannestad,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3834,3834,Kringlerdalen - Maura - Nannestad,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3837,3837,Eltonåsen - Løkendalen - Fagerli sykehjem,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3838,3838,Nannestad - Engelstad - Grasmo,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3839,3839,Nannestad - Maura - Sandnessenter,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:385,385,Nittedal stasjon - Olavsgaard - Ahus,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:386,386,Nittedal stasjon - Kruttverket - Dam,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3871,3871,Kongskog - Olavsgaard - Jessheim vgs,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3872,3872,Eidsvoll - Råholt - Dal - Nannestad,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3874,3874,Olavsgaard - Skedsmo - Jessheim - Nannestad,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:390,390,Kongskog/Hellerudhaugen - Oslo bussterminal,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3901,1N,Jernbanetorget - Ullerntoppen,705,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3902,2N,Østerås T - Ellingsrudåsen,705,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3903,3N,Jernbanetorget - Skullerud T,705,E60000,FFFFFF
